# PDOK Locatieserver woonplaats centroids (WGS84); CC0, Kadaster
place,municipality,province,lat,lon
Deinum,Waadhoeke,Fryslân,53.19268,5.71547
Delden,Hof van Twente,Overijssel,52.25875,6.70581
Delfgauw,Pijnacker-Nootdorp,Zuid-Holland,52.00316,4.40202
Delfstrahuizen,De Fryske Marren,Fryslân,52.88534,5.83716
Delft,Delft,Zuid-Holland,51.99846,4.36311
Delfzijl,Eemsdelta,Groningen,53.36025,6.95237
Delwijnen,Zaltbommel,Gelderland,51.77744,5.18191
Demen,Oss,Noord-Brabant,51.81188,5.62935
Den Andel,Het Hogeland,Groningen,53.40382,6.51897
Den Bommel,Goeree-Overflakkee,Zuid-Holland,51.70835,4.29289
Den Burg,Texel,Noord-Holland,53.05446,4.76756
Den Dolder,Zeist,Utrecht,52.15006,5.24072
Den Dungen,Sint-Michielsgestel,Noord-Brabant,51.66944,5.37545
Den Ham,Twenterand,Overijssel,52.46270,6.50317
Den Ham,Westerkwartier,Groningen,53.27052,6.44265
Den Helder,Den Helder,Noord-Holland,52.94464,4.79072
Den Hoorn,Midden-Delfland,Zuid-Holland,52.00537,4.31736
